id,dataset_type,class,duration,src_bytes,dst_bytes,src_pkts,dst_pkts,src_win_byt,dst_win_byt,load_s,down_up_ratio,total_bytes,total_pkts,src_mean_pkt_size,dst_mean_pkt_size,pkts_per_sec,win_diff,byte_ratio,label
23,injection,Fuzzers,2675182.0493,6765.4152,518.8664,13.7664,6.0959,162.7348,162.7348,15964966.7424,0.4275,7284.2816,19.8623,238.8228,38.7491,106123.8253,0.0,0.3133,1.0
24,injection,Botnet,266908.4388,2338.2245,0.0,2.1837,0.0,-1.0,-1.0,1401182039.126,0.0,2338.2245,2.1837,1121.7239,0.0,142858391211.3876,0.0,0.0,1.0
25,injection,Syn_DDoS,6078882.9398,5.0526,1.985,2.8271,0.7068,5840.0,-0.6767,1618424.4059,0.2707,7.0376,3.5338,2.2556,0.9474,195489503544.5686,5840.6767,0.1534,1.0
26,injection,DDoS,4.7315,1354.8725,0.0,2.0,0.0,-1.0,-1.0,1139292356.0562,0.0,1354.8725,2.0,677.4359,0.0,93961382040.3345,0.0,0.0,1.0
27,nb15_stin,aggregated,1845841.62,2011.8849,8034.518,10.33,10.2571,1380.9704,53.7642,444324317.877,0.2886,10046.403,20.5871,367.9708,68.1994,77591036032.5142,1327.2062,40.8988,0.6926
28,nb15_stin,Normal,1015406.7355,4092.4444,26138.1974,27.5632,33.0279,183.5943,176.6758,3944601.5483,0.8241,30230.6417,60.5911,145.4256,221.44,67932.9617,6.9185,3.9613,0.0
29,nb15_stin,Botnet,369838.9882,2327.5161,0.0,2.2912,0.0,0.6237,-1.0,1400215015.9438,0.0,2327.5161,2.2912,1088.34,0.0,62474930668.9779,1.6237,0.0,1.0
30,nb15_stin,UDP_DDoS,1345078.2616,1022.0269,0.1875,3.4601,0.0718,1417.3129,-0.421,240610495.7203,0.0222,1022.2144,3.5319,281.3568,0.0254,90397137056.587,1417.7339,0.0004,1.0
31,nb15_stin,Syn_DDoS,6781718.0071,4.5904,1.6946,2.8688,0.5061,5838.4138,-0.7669,1535118.8681,0.1716,6.2849,3.3749,1.8523,0.7174,216686866640.5199,5839.1807,0.1108,1.0
32,nb15_stin,DDoS,13391.5263,1317.8421,0.0002,2.0049,0.0,-0.898,-1.0,1111515956.2702,0.0,1317.8423,2.0049,657.6524,0.0001,68423028007.1785,0.1019,209.4533,1.0
33,nb15_sat20,aggregated,2392121.1998,2503.6996,13865.2924,16.2076,17.5902,1399.3407,93.46,80462439.6952,0.4584,16368.992,33.7978,168.7825,117.473,68458165148.8958,1305.8807,2.1015,0.4695
34,nb15_sat20,Normal,1015406.7355,4092.4444,26138.1974,27.5632,33.0279,183.5943,176.6758,3944601.5483,0.8241,30230.6417,60.5911,145.4256,221.44,67932.9617,6.9185,3.9613,0.0
35,nb15_sat20,Syn_DDoS,8220373.2393,0.3353,0.0,3.0114,0.3136,5838.2244,-0.8408,163646.9103,0.0955,0.3353,3.325,0.167,0.0,258932436825.3186,5839.0652,0.0,1.0
36,nb15_sat20,UDP_DDoS,86360.1342,1349.047,0.2475,3.7109,0.0014,2.8601,-0.2912,317580064.6726,0.0002,1349.2945,3.7123,371.3772,0.0335,43567553758.9681,3.1513,0.0006,1.0
37,nb15_ter20,aggregated,1060330.1864,2498.9224,11037.5094,12.9281,14.035,860.7444,74.0658,548013639.1038,0.3794,13536.4317,26.9631,432.5583,93.6835,52097560115.1571,786.6786,56.1853,0.5777
38,nb15_ter20,Syn_DDoS,3203986.7109,15.172,5.9087,2.5142,0.9848,5838.8849,-0.5831,4945774.8996,0.361,21.0808,3.499,6.0433,2.5015,111628131800.5025,5839.468,0.3865,1.0
39,nb15_ter20,DDoS,13391.5263,1317.8421,0.0002,2.0049,0.0,-0.898,-1.0,1111515956.2702,0.0,1317.8423,2.0049,657.6524,0.0001,68423028007.1785,0.1019,209.4533,1.0
40,nb15_ter20,Normal,1015406.7355,4092.4444,26138.1974,27.5632,33.0279,183.5943,176.6758,3944601.5483,0.8241,30230.6417,60.5911,145.4256,221.44,67932.9617,6.9185,3.9613,0.0
41,nb15_ter20,Botnet,369838.9882,2327.5161,0.0,2.2912,0.0,0.6237,-1.0,1400215015.9438,0.0,2327.5161,2.2912,1088.34,0.0,62474930668.9779,1.6237,0.0,1.0
42,nb15_ter20,UDP_DDoS,5278595.1501,0.0832,0.0,2.6765,0.2919,5837.5035,-0.8267,79202.1968,0.091,0.0832,2.9684,0.0416,0.0,236740430894.0078,5838.3302,0.0,1.0
