id,dataset_type,class,duration,src_bytes,dst_bytes,src_pkts,dst_pkts,src_win_byt,dst_win_byt,load_s,down_up_ratio,total_bytes,total_pkts,src_mean_pkt_size,dst_mean_pkt_size,pkts_per_sec,win_diff,byte_ratio,label
16,injection,aggregated,35456118236358.734,30946989789.7754,21872016946.979,18932.9862,12829.9932,37921.7929,16204.4494,3213120540349777.0,4.8389,53333229957.4695,43706.1014,44085.1166,65655.3392,5.727125300259415e+20,23275.4116,157.1236,0.2331
17,injection,Generic,1628535417432.697,679024509.0351,3062013284.208,431.6175,1680.089,1091.8538,1091.8538,167534839734538.34,0.074,3780951301.3265,2764.7722,2734.5765,6924.1262,36834812560.3938,0.0,28.0317,0.0
18,injection,Normal,20787910765099.582,166497993.8247,16567207200.8131,2840.7356,9497.8592,13107.5275,13836.1117,441831215312562.1,0.1939,17285727372.3965,22255.1246,39204.9333,94186.7359,57237201429.9176,1722.8921,67.9025,0.0
19,injection,DoS,102076129047169.28,97180787545.4616,171536145925.8755,59529.0875,97267.1031,10560.2598,10560.2598,547696228525971.9,0.3976,270652206154.0272,203914.1343,31015.2965,29172.0813,46424524071.0582,0.0,225.6609,0.0
20,injection,Exploits,54863834076105.85,136272067352.4978,18320258146.1186,77093.7087,12073.9673,15375.5577,15376.238,397998026047546.6,25.9461,155176334914.2958,115447.0092,73996.8546,101909.9293,34350316334.7117,2.9226,585.911,0.0
21,injection,UDP_DDoS,39002407184048.17,1267813.859,0.0,8.0294,0.1059,6078258.005,0.0265,1.1200081018370243e+17,0.0134,1267813.859,8.2368,24848.1245,0.0,2.3000533234314946e+23,6078013.1798,0.0,0.0
22,injection,Reconnaissance,24318501717322.137,51186370.7376,9180622725.9196,220.7845,5045.8541,16257.1035,16257.1035,234800928452255.66,0.1641,9322374981.3736,6853.6811,1484.1023,2111.2589,43773654836.5112,0.0,14.4482,0.0
23,injection,Fuzzers,89206055930974.14,1845019456.5602,32439828.8246,1182.0867,68.8887,15015.3763,15015.3763,2025508623071687.5,0.1252,1930151883.917,1631.4932,102846.5014,2524.6786,67371261605.5548,0.0,1.0351,0.0
24,injection,Botnet,721401752003.2388,680323.2893,0.0,0.3371,0.0,0.0,0.0,1.0517032878803574e+18,0.0,680323.2893,0.3371,205644.8681,0.0,2.680408767643313e+23,0.0,0.0,0.0
25,injection,Syn_DDoS,527284707120940.1,63.7321,22.2119,9.7047,1.224,0.0,0.2204,15498287706743.482,0.1989,131.188,13.9326,8.5099,4.823,3.554337316872424e+23,0.2204,0.129,0.0
26,injection,DDoS,156.0491,1155744.7742,0.0,0.0,0.0,0.0,0.0,1.1360065172825327e+18,0.0,1155744.7742,0.0,288935.9046,0.0,1.8030079421995035e+23,0.0,0.0,0.0
27,nb15_stin,aggregated,123659399871805.83,54080240.9815,5237719999.3139,1008.4503,3149.7471,5886360.7034,13731.5924,6.984515418895904e+17,0.2204,5494905704.6228,7555.091,224043.6569,39374.5191,1.4916051570386511e+23,6010298.1524,475932290.7245,0.2129
28,nb15_stin,Normal,20787910765099.582,166497993.8247,16567207200.8131,2840.7356,9497.8592,13107.5275,13836.1117,441831215312562.1,0.1939,17285727372.3965,22255.1246,39204.9333,94186.7359,57237201429.9176,1722.8921,67.9025,0.0
29,nb15_stin,Botnet,964087380136.7518,936363.9141,0.0,1.8166,0.0001,106308.5396,0.0,1.1349633663364009e+18,0.0,936363.9141,1.8167,213709.2216,0.0,1.2104728147775891e+23,106305.2954,0.0,0.0
30,nb15_stin,UDP_DDoS,40105252791897.98,1152833.9985,569.4379,7.2489,0.1796,6421760.0568,14702.9299,1.2474082634383486e+17,0.022,1153622.5625,7.5121,25949.0643,12.5798,1.7262392581249485e+23,6370360.0423,0.0069,0.0
31,nb15_stin,Syn_DDoS,573657627106582.2,656.2616,28.2239,9.145,1.179,9189.7435,3.3615,127522062744324.84,0.1422,757.0761,12.9833,149.8303,3.7898,3.864255169987737e+23,9354.255,0.0951,0.0
32,nb15_stin,DDoS,525215991665.8737,1116783.3329,0.0025,0.0161,0.0001,595.4982,0.0,1.1300054432624956e+18,0.0,1116782.7833,0.0162,276950.0546,0.0006,1.3216343626782547e+23,595.2943,2513439921.8041,0.0
33,nb15_sat20,aggregated,185177515069912.34,91651123.7039,8958339977.9429,1657.2195,5307.6167,5720019.2694,19950.1245,5.32593931692396e+16,0.2743,9386871297.5463,12621.7299,37791.8125,62177.5678,1.3222958862370158e+23,5934055.503,39.9294,0.2491
34,nb15_sat20,Normal,20787910765099.582,166497993.8247,16567207200.8131,2840.7356,9497.8592,13107.5275,13836.1117,441831215312562.2,0.1939,17285727372.3965,22255.1246,39204.9333,94186.7359,57237201429.9176,1722.8921,67.9025,0.0
35,nb15_sat20,Syn_DDoS,736974949835885.1,776.1916,0.0,11.1834,0.7028,10266.4659,4.5964,153167389754289.28,0.0864,776.1916,14.3644,194.0281,0.0,4.50828157051692e+23,10497.4862,0.0,0.0
36,nb15_sat20,UDP_DDoS,24435268800.7711,1080573.6587,751.6464,8.5367,0.0329,219140.5994,19404.9088,1.401950307791379e+17,0.0003,1081452.6875,8.6226,818.0951,16.6052,8.523731450363645e+22,149644.4826,0.0091,0.0
37,nb15_ter20,aggregated,30687903857778.656,73040075.7528,7162271773.6723,1356.8614,4274.4275,3873248.8521,13538.3161,8.83050396472053e+17,0.2561,7503580464.5424,10225.2742,279413.7257,51701.2263,1.0147983580374916e+23,3977364.9186,653820155.5396,0.244
38,nb15_ter20,Syn_DDoS,149583264390527.1,201.0367,73.5153,3.9,2.0421,6512.2596,0.2431,47440233315561.04,0.2307,402.6203,9.528,15.2927,8.752,2.108072062182632e+23,6511.5728,0.225,0.0
39,nb15_ter20,DDoS,525215991665.8736,1116783.3329,0.0025,0.0161,0.0001,595.4982,0.0,1.1300054432624956e+18,0.0,1116782.7833,0.0162,276950.0546,0.0006,1.3216343626782543e+23,595.2943,2513439921.8041,0.0
40,nb15_ter20,Normal,20787910765099.582,166497993.8247,16567207200.8131,2840.7356,9497.8592,13107.5275,13836.1117,441831215312562.2,0.1939,17285727372.3965,22255.1246,39204.9333,94186.7359,57237201429.9176,1722.8921,67.9025,0.0
41,nb15_ter20,Botnet,964087380136.7518,936363.9141,0.0,1.8166,0.0001,106308.5396,0.0,1.1349633663364006e+18,0.0,936363.9141,1.8167,213709.2216,0.0,1.210472814777589e+23,106305.2954,0.0,0.0
42,nb15_ter20,UDP_DDoS,144942365331954.75,78.6136,0.0,2.4141,0.574,14375.3284,9.2841,78387598062604.14,0.0833,78.6136,3.6227,19.6534,0.0,4.1746296267050676e+23,14790.4323,0.0,0.0
